TIPO ATO;ÓRGÃO;Nº;DATA ASSINATURA;EMENTA;DATA DOM;OBSERVAÇÃO;ASSUNTO;LINK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DECRETO;;13.793;02/12/2009;Altera o Decreto nº 9.223, de 20 de maio de 1997;03/12/2009;;ADMINISTRATIVO - TABELA DE TEMPORALIDADE;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1016914;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DECRETO;;13.797;09/12/2009;Dispõe sobre o encerramento do exercíciio financeiro de 2009 e dá outras providências;10/12/2009;;ORÇAMENTO - ENCERRAMENTO DO EXERCÍCIO FINANCEIRO;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1017731;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LEI ;;9.800;30/12/2009;Altera a Lei nº 9.595/08, que dispõe sobre as diretrizes para a elaboração da Lei do Orçamento Anual - LOA - de 2009, e a Lei nº 9.730/2009, que dispõe sobre as diretrizes para a elaboração da LOA de 2010;31/12/2009;;ORÇAMENTO - LDO;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1020435;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LEI ;;9.801;30/12/2009;Dispõe sobre o Plano Plurianual de Ação Governamental - PPAG - para o período 2010/2013;31/12/2009;;ORÇAMENTO - PPAG;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1020436;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LEI;;9.802;30/12/2009;Estima a receita e fixa a despesa do Município para o exercício financeiro de 2010;31/12/2009;;ORÇAMENTO - LOA - ESTIMA RECEITA E FIXA  DESPESA;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1020437;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DECRETO;;13.843;14/01/2010;Atualiza os componentes das receitas e despesas dos orçamentos aprovados para o exercício de 2010;15/01/2010;Anexos arquivados separadamente;ORÇAMENTO - LOA - ESTIMA RECEITA E FIXA  DESPESA;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1021482;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LEI;;9.815;18/01/2010;Concede reajustes remuneratórios aos servidores e empregados públicos da Administração Direta e Indireta do Poder Executivo e dá outras providências;19/01/2010;;PESSOAL - REAJUSTE;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1021745;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PORTARIA;SMPL;3;30/01/2010;Estabelece os procedimentos, os responsáveis e a periodicidade para registro de informações relacionadas com o desempenho das metas físicas finalísticas do Plano Plurianual de Ação Governamental e Financeiro - SOF, no exercício de 2010;30/01/2010;Ver retificação DOM 10/02/2010, 12/03/2010, 16/06/2010, 27/07/2010 e 04/12/2010;ORÇAMENTO - MONITORAMENTO;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1022860;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PORTARIA;SMPL;4;10/02/2010;Altera a composição dos responsáveis pelo monitoramento do PPAG;10/02/2010;;ORÇAMENTO - MONITORAMENTO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PORTARIA;SMPL;7;12/03/2010;Altera a composição dos responsáveis pelo monitoramento do PPAG;12/03/2010;;ORÇAMENTO - MONITORAMENTO;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1026750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
