TIPO ATO;ÓRGÃO;Nº;DATA ASSINATURA;EMENTA;DATA DOM;OBSERVAÇÃO;ASSUNTO;LINK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PORTARIA;SMPOG;054;17/09/2021;Institui a Comissão Processante para apuração de irregularidades em exames admissionais.;23/09/2021;Irregularidades;PESSOAL - EXAME ADMISSIONAL;https://dom-web.pbh.gov.br/visualizacao/ato/2711;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PORTARIA;SMPOG;055;20/09/2021;Regulamenta a concessão de vale-refeição e de vale-alimentação aos servidores e empregados públicos municipais da Administração Direta.;23/09/2021;;PESSOAL - VALE-REFEIÇÃO;https://dom-web.pbh.gov.br/visualizacao/ato/2712;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LEI;;11.311;23/09/2021;"Autoriza o Poder Executivo a conceder, por meio de programa específico e temporário, descontos para pagamento à vista ou parcelado de créditos em favor do Município e dá outras providências.

 ";24/09/2021;Programa Reativa BH;FINANÇAS - PAGAMENTOS;https://dom-web.pbh.gov.br/visualizacao/ato/2777;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DECRETO;;17.719;23/09/2021;"Regulamenta a Lei nº 11.311, de 23 de setembro de 2021, que autoriza o Poder Executivo a conceder, por meio de programa específico e temporário, descontos para pagamento à vista ou parcelado de créditos em favor do Município e dá outras providências.

 ";24/09/2021;Programa Reativa BH;FINANÇAS - PAGAMENTOS;https://dom-web.pbh.gov.br/visualizacao/ato/2778;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PORTARIA;SMED;175;23/09/2021;Dispõe sobre agendamento de perícia médica para os servidores da Educação e dá outras providências.;25/09/2021;;PESSOAL - EDUCAÇÃO;https://dom-web.pbh.gov.br/visualizacao/ato/2823;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PORTARIA;FMC;050;23/09/2021;"Dispõe sobre a reabertura dos centros culturais, das bibliotecas e do arquivo público geridos pela Fundação Municipal de Cultura e sobre a retomada de serviços e atividades nestes equipamentos.

 ";28/09/2021;;SAÚDE - COVID 19;https://dom-web.pbh.gov.br/visualizacao/ato/2875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PORTARIA;SMSA/SUS-BH;500;24/09/2021;Altera a Portaria SMSA/SUS-BH n° 0246/2021 que estabelece a metodologia de remuneração da atenção de média e alta complexidade, durante o combate à pandemia Covid-19, no âmbito do Sistema Único de Saúde de Belo Horizonte (SUS/BH), e dá outras providências.;28/09/2021;Metodologia de remuneração da atenção de média e alta complexidade,;SAÚDE - COVID 19;https://dom-web.pbh.gov.br/visualizacao/ato/2947;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PORTARIA;PBH ATIVOS;034;27/09/2021;Dispõe sobre hipóteses de tratamento de dados pessoais da PBH Ativos S/A.;29/09/2021;;CONTROLADORIA - LGPD;https://dom-web.pbh.gov.br/visualizacao/ato/2981;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PORTARIA;SMASAC;135;27/09/2021;Dispõe sobre a criação do Grupo de Trabalho para elaboração do Plano Municipal de Assistência Social – PMAS, 2022/2025”.;30/09/2021;;ASSISTÊNCIA - PMAS;https://dom-web.pbh.gov.br/visualizacao/ato/3056;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RELATÓRIO RESUMIDO DA EXECUÇÃO ORÇAMENTÁRIA;;4º Bimestre/2º Quadrimestre;28/09/2021;RELATÓRIO RESUMIDO DA EXECUÇÃO ORÇAMENTÁRIA;30/09/2021;;ORÇAMENTO - RELATÓRIO RESUMIDO EXECUÇÃO ORÇAMENTÁRIA;https://dom-web.pbh.gov.br/visualizacao/ato/3063;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PORTARIA CONJUNTA;SMOBI, SUDECAP E SMSA;005;24/09/2021;Dispõe sobre a criação da Unidade de Gerenciamento do Programa (UGP) da Corporação Andina de Fomento.;30/09/2021;;POLÍTICA URBANA - PROGRAMA UGP;https://dom-web.pbh.gov.br/visualizacao/ato/3089;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PORTARIA;SMSA/SUS-BH;500;24/09/2021;"Altera a Portaria SMSA/SUS-BH n° 0246/2021 que estabelece a metodologia de remuneração da atenção de média e alta complexidade, durante o combate à pandemia Covid-19, no âmbito do Sistema Único de Saúde de Belo Horizonte (SUS/BH), e dá outras providências.

";01/10/2021;;SAÚDE - COVID 19;https://dom-web.pbh.gov.br/visualizacao/ato/3170;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PORTARIA;SMED;184;30/09/2021;Altera a Portaria SMED nº 095/2021.;02/10/2021;Ensino remoto e atividades presenciais;SAÚDE - COVID 19;https://dom-web.pbh.gov.br/visualizacao/ato/3218;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LEI;;11.314;05/10/2021;"Institui o Programa Auxílio Belo Horizonte, para o enfrentamento das consequências sociais e econômicas da pandemia da covid-19.

";06/10/2021;;SAÚDE - COVID 19;https://dom-web.pbh.gov.br/visualizacao/ato/3457;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RESOLUÇÃO;CONEP;001;05/10/2021;Aprova o Regimento Interno do Conselho de Ética Pública do Município.;06/10/2021;;PESSOAL - CONSELHO DE ÉTICA PÚBLICA;https://dom-web.pbh.gov.br/visualizacao/ato/3456;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PORTARIA;SMASAC;139;30/09/2021;Publiciza o protocolo da Mesa Municipal da Gestão do Trabalho do SUAS - MMGT-SUAS nº. 001/2021.;06/10/2021;;ASSISTÊNCIA - SUAS;https://dom-web.pbh.gov.br/visualizacao/ato/3403;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PORTARIA;SMSA/SUS-BH;538;05/10/2021;Dispõe sobre protocolos específicos para atividades comerciais, shopping centers, centros de comércio e galerias de loja autorizados nos termos do Decreto nº 17.361, de 22 de maio de 2020.;06/10/2021;;SAÚDE - COVID 19;https://dom-web.pbh.gov.br/visualizacao/ato/3463;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PORTARIA;SMSA/SUS-BH;539;05/10/2021;"Dispõe sobre protocolos específicos de vigilância em saúde para creches e escolas de educação infantil e ensinos fundamental e médio autorizadas a exercer suas atividades nos termos do Decreto nº 17.361, de 22 de maio de 2020.

 ";06/10/2021;;SAÚDE - COVID 19;https://dom-web.pbh.gov.br/visualizacao/ato/3464;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PORTARIA;SMSA/SUS-BH;540;05/10/2021;Dispõe sobre protocolos específicos de vigilância em saúde para atividades presenciais em escolas de ensino superior e centro de formação profissional autorizados nos termos do Decreto nº 17.361, de 22 de maio de 2020.;06/10/2021;;SAÚDE - COVID 19;https://dom-web.pbh.gov.br/visualizacao/ato/3465;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PORTARIA;SMSA/SUS-BH;541;05/10/2021;Dispõe sobre protocolos específicos de vigilância em saúde para cabeleireiro, manicure, pedicure e clínica de estética autorizados a exercer suas atividades nos termos do Decreto nº 17.361, de 22 de maio de 2020.;06/10/2021;;SAÚDE - COVID 19;https://dom-web.pbh.gov.br/visualizacao/ato/3466;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PORTARIA;SMSA/SUS-BH;542;05/10/2021;Dispõe sobre protocolos específicos de vigilância em saúde para museus e galerias de arte autorizados a exercer suas atividades nos termos do Decreto nº 17.361, de 22 de maio de 2020.;06/10/2021;;SAÚDE - COVID 19;https://dom-web.pbh.gov.br/visualizacao/ato/3467;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PORTARIA;SMSA/SUS-BH;543;05/10/2021;Dispõe sobre protocolos específicos de vigilância em saúde para academias, centros de ginástica, estabelecimentos de condicionamento físico e clubes de serviço, de lazer, sociais, esportivos e similares autorizados nos termos do Decreto nº 17.361, de 22 de maio de 2020.;06/10/2021;;SAÚDE - COVID 19;https://dom-web.pbh.gov.br/visualizacao/ato/3468;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PORTARIA;SMSA/SUS-BH;539;05/10/2021;"Dispõe sobre protocolos específicos de vigilância em saúde para creches e escolas de educação infantil e ensinos fundamental e médio autorizadas a exercer suas atividades nos termos do Decreto nº 17.361, de 22 de maio de 2020.

 ";07/10/2021;REPUBLICADA;SAÚDE - COVID 19;https://dom-web.pbh.gov.br/visualizacao/ato/3537;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DECRETO;SUDECAP;17.730;07/10/2021;Altera o Decreto nº 17.556, de 2 de março de 2021, que dispõe sobre a estrutura organizacional da Superintendência de Desenvolvimento da Capital.;08/10/2021;;ESTRUTURA;https://dom-web.pbh.gov.br/visualizacao/ato/3612;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DECRETO;;17.731;07/10/2021;Altera o Anexo IV do Decreto nº 16.676, de 31 de agosto de 2017, que dispõe sobre a codificação e a forma de recrutamento dos cargos de provimento em comissão de que trata a Lei nº 11.065, de 1º de agosto de 2017, e dá outras providências.;08/10/2021;;PESSOAL - CARGOS ADMINISTRAÇÃO;https://dom-web.pbh.gov.br/visualizacao/ato/3613;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LEI;;11.315;07/10/2021;Altera as leis nº 1.310/66, nº 5.641/89, nº 5.839/90, nº 7.031/96, nº 8.468/02, nº 8.616/03 e nº 8.725/03, e estabelece novas medidas de incentivo à regularização tributária e à recuperação da atividade econômica do Município, em razão das consequências da epidemia da covid-19.;08/10/2021;;SAÚDE - COVID 19;https://dom-web.pbh.gov.br/visualizacao/ato/3611;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PORTARIA;SMED;189;06/10/2021;Convoca os Professores Municipais das Escolas Municipais de Ensino Especial da Rede Municipal de Educação de Belo Horizonte a exercer suas atribuições em regime especial de trabalho e dá outras providências.;08/10/2021;;SAÚDE - COVID 19;https://dom-web.pbh.gov.br/visualizacao/ato/3574;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PORTARIA;SMED;190;06/10/2021;Convoca os Professores Municipais das turmas de ensino fundamental e médio da Modalidade Educação de Jovens e Adultos-EJA da Rede Municipal de Educação de Belo Horizonte a exercer suas atribuições em regime especial de trabalho e dá outras providências.;08/10/2021;;SAÚDE - COVID 19;https://dom-web.pbh.gov.br/visualizacao/ato/3575;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DECRETO;SUDECAP;17.730;07/10/2021;Altera o Decreto nº 17.556, de 2 de março de 2021, que dispõe sobre a estrutura organizacional da Superintendência de Desenvolvimento da Capital.;09/10/2021;Republicado;ESTRUTURA;https://dom-web.pbh.gov.br/visualizacao/ato/3698;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PORTARIA;SMSA/SUS-BH;551;08/10/2021;Dispõe sobre protocolos gerais de vigilância em saúde para as atividades autorizadas a funcionar nos termos do Decreto nº 17.361, de 22 de maio de 2020.;09/10/2021;;SAÚDE - COVID 19;https://dom-web.pbh.gov.br/visualizacao/ato/3699;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PORTARIA;SMSA/SUS-BH;552;08/10/2021;Dispõe sobre protocolos específicos de vigilância em saúde para restaurantes, cantinas, sorveterias, bares e similares autorizados a funcionar nos termos do Decreto nº 17.361, de 22 de maio de 2020.;09/10/2021;;SAÚDE - COVID 19;https://dom-web.pbh.gov.br/visualizacao/ato/3700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PORTARIA;SMSA/SUS-BH;553;08/10/2021;Dispõe sobre protocolos específicos de vigilância em saúde para parques de diversão e parques temáticos autorizados a funcionar nos termos do Decreto nº 17.361, de 22 de maio de 2020.;09/10/2021;;SAÚDE - COVID 19;https://dom-web.pbh.gov.br/visualizacao/ato/3701;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PORTARIA;SMSA/SUS-BH;554;08/10/2021;Dispõe sobre protocolos específicos de vigilância em saúde para atividades no formato drive-in autorizadas nos termos do Decreto nº 17.361, de 22 de maio de 2020.;09/10/2021;;SAÚDE - COVID 19;https://dom-web.pbh.gov.br/visualizacao/ato/3702;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PORTARIA;SMSA/SUS-BH;554;08/10/2021;Dispõe sobre protocolos específicos de vigilância em saúde para espetáculo circense autorizado nos termos do Decreto nº 17.361, de 22 de maio de 2020.;09/10/2021;;SAÚDE - COVID 19;https://dom-web.pbh.gov.br/visualizacao/ato/3703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
